Galaxy_S4__HTC_One__Xperia_Z_-_4.2.2_-_API_17_-_1080x1920,1
Y10,1
MOFUT_T2NOTE,6
TELSDA_T8881,3
EBEST_V8,42
F15-Fresh,4
T906_A908,3
EBEST_V5,51
EBEST_V6,10
EBEST_V7,37
LG_Optimus_G_Pro,1
S500A,7
T9888.GX055,1
UNC-D500,15
MID_Serails,1
RSD-C188,6
RSD-C189,3
Z79,1
Tensent_S9000,9
Nexus_16,1
AWIO_X800,2
K-Touch_Q4,1
Z71,2
SHW-M500W,224
Z75,3
lenovo_a820t,1
SCH-I959,2340
SONIC,105
T6188,6
AMOI_N809,9
B29,1
K-Touch_Kiss_U86,1
HTC_VAE_WX,1
A909,1
T6186,4
T6185,4
ETON_T850,44
M9_9,24
Royalstar_V2,2
CHUWI-V17,1
LU2300,4
Bird_i600,78
LePanII,2
HP_Slate_7,61
SM-C105,3
MT810lx,1
OPAD_DAZZLE_III_7,1
e1911_v77_mt6628_hjy1_9p017_v20,8
K-Touch_Kis_3w,8
35Phone-U35M,3
W686,28
U880s,5
Kero.,1
ASK_115SP_IPS,3
SCH-R760X,1
T_M2,7
A901,2
Desire_L_by_HTC,186
V813_Core4,67
A919,2
A918,21
U880E,5
M3Smini,1
HKC_S86V,11
novo7_Advanced2,14
sony_MID,2
MF322ZP/A,1
ZTE_V882,13
Ban-G,1
T900,109
U880X,1
GT-N719,2
galaxy_S4,4
MP900,2
SHV-E160,3
P205,4
KingTopG72WG,4
AOLE_639PAD,4
U705,1
U707,2
P617S,19
U701,391
U702,1
CK111F,3
U8800,50
OLEDE-W1160B,1
W300,2
TE800S,13
unistar13_gb,1
Galaxy_s_II,1
Z320,1
DN_A708,3
8150D,478
M100,3
M101,3
RAZR_V,1
5858,6
deovo_v5,3
H12_Dual_Core,1
GTN7100,1
BA014AAM0G,1
Lenovo_S930,62
DK168,1
MINI_S-AZ,32
N861,5
s_3,1
ZOObII_A805,2
Micromax_A67,2
ZOObII_A802,1
8150d,1
WTEST,4
HTC_HD7,3
SHW-M180K,58
SHW-M180L,181
HTC_HD2,244
POV_TAB-PROTAB25XXL,2
ASK_110SP,1
E380,1
ViewPad_70D,3
DK_P110,10
Minte_Q6,4
SHW-M180S,428
SHW-M180W,79
HTC_Desire_HD_with_Beats_Audio,5
Faea_HY508,10
Faea_HY509,2
DOOV_D920,29
A26B,1
H1979,10
PG41200,59
OBEE_V10,10
HUAWEIG610?6H,1
P870,3
LX_9000,4
Q8P-B,1
Q8P-A,3
UMO_W600,3
I929_Plus,1
HUAWEI_G730-U00,1
GP708-GSM,1
A8-5.0,2
MT_A6120,2
GT-i9300,188
sm_9119,1
Pioneer_E80W,1
GT-i9305,1
X9_NOTE,34
ChanghongV5t,6
HUAWEI_U8950-1,29
LG-MS770,25
X12,1
P6R%H,5
SN10T2,19
MK809B,1
ExNote_S_,2
gaophone15_6628_gb2,1
crave,1
MZ90S_MID,4
G618,2
Pioneer_E80w,114
K18T-XuanCai,3
	HGT7100,2
A55,3
GOB_i5,1
Sunup-HX838,1
HY2013,9
ZTE_V970M,2
QF001,1
GN160T,107
MyPhone_Agua_Iceberg,1
WM_T6500RY,2
NT3_Taiwan,2
SUPRA_M845G,1
900TPCII,1
H30-T00,22
HDL_H8,6
HTC_Status,1
Q88-MID,1
U39GT,92
ZTE-T_U880,403
K-touch@100,3
Novo10_captain_QuadCore,5
ATM7029,1
Full_JellyBean_on_Mako,1
MOFUT_F1mini,10
gt-9500,1
G300,2
O+_8.9_Android,3
EX_S20i,4
BNTV400,5
ST21a,6
Q68,6
S4MAX	,8
Lenovo_A500,96
LT18a,10
G9C,12
HX-918z,1
G9A,5
HUAWEIP6,1
U51GT-W,8
BROR_T68,2
SHV-E110S,4049
e1809c_v75_gq1008_5647_ordro,1
RSD_V2,16
RSD_V3,6
G9T,24
HTC_HD7_4G_T9299_Pro_AT&T,1
RSD_V5,21
k-free_F8,35
shw-m250s,1
TONEWIN_S8800,5
@didi_S6,5
NOOK,1
neken_N6_,1
HTC_0P6A1,1
P76e(A3E1),46
TCL_A916,1
TCL_A919,50
Evo_3D_GSM,53
SHV-E110s,1
N50,9
VCALL_I668,6
Newish_R610,2
GN305,196
A1_07,890
VIMOO_I8100HT,2
mobiletek13_gb,81
SONY-GPS310,4
TY108,2
VCALL_I939,1
F76,1
ASK_784SP_IPS,8
AW910,16
Mobiistar_Touch_S30,2
GT-P7320,40
x3,1
Eee_Pad_TF300T,1
I9505,1
LG_0ptimus_LTE2,10
e1109l_zl9ctp_20daxian_6622,1
A10-P701A,1
HOT_S5360,4
<iS9,2
ARCHOS_GAMEPAD,2
P800A,1
ztopsr,1
YTONE_866A,1
AOSP_on_Mako,2
e1108_v73_nd1gti9220flash8p4,2
8710,15
HTC_8060,40
GT-I9208,105
ED-786,1
xindiheng_u820,2
Coolpad5890,2
U8180,2
GT-I9200,1665
EBEST_X1,21
GT-N7100T,3
GT-I9205,2237
4.07,1
H508-S4,1
U8185,1
TCLW989,12086
EX-P7000,2
HUAWEI_C8825D,551
ÕÿøÕ??Ã®?∞ÊB6000S,1
NAIDE,2
LG-F220,1
U1205,6
SIROCO_2,1
U1201,12
U1203,134
D-Jet_Slip_Web,1
LTE_4G+,1
CT93K,4
i_phone_5s,1
Mango_7,1
GX-P900,2
CT93A,2
Lenovo-S6220HD,1
N11,1
E78,1
AOLE_868_M,1
HTC_Droid_Incredible,1
R813T,824
HTC-X710e,12
MUCH_i5-EU,1
HTC-X710a,6
SAMSUNG-SGH-T989,13
T55555,10
Samsung_S7568,1
T910_002,2
?sMini,1
U30GT-H,389
newish_L19,5
U30GT-M,19
WP-W15C,17
Pulid_F2_2,4
SPH-L520,1
MX11,3
MELE_A100,1
U30GT-W,12
HODOO_D710,1
